"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"124","Chris Godwin","WR","TB","7.6","8.3","6.7","15.4","BYE","10.7","9.6","","","","","","","","","","","","9.7","58.3"
"125","Philadelphia Eagles","DST","PHI","13","7","12","5","5","6","10","","","","","","","","","","","","8.3","58"
"125","Justin Tucker","K","BAL","5","11","7","4","4","19","8","","","","","","","","","","","","8.3","58"
"127","Rachaad White","RB","TB","5.9","18.8","5.7","9.3","BYE","5.3","12.9","","","","","","","","","","","","9.7","57.9"
"128","Ryan Tannehill","QB","TEN","5.4","21","4.2","13.7","10.8","2","BYE","","","","","","","","","","","","9.5","57.1"
"129","Tyler Allgeier","RB","ATL","22.9","4.8","3.9","1.7","6","5.1","12.7","","","","","","","","","","","","8.2","57.1"
"130","Cincinnati Bengals","DST","CIN","7","6","11","5","16","12","BYE","","","","","","","","","","","","9.5","57"
"130","Jason Myers","K","SEA","8","7","18","6","BYE","9","9","","","","","","","","","","","","9.5","57"
"130","Minnesota Vikings","DST","MIN","2","5","2","17","2","21","8","","","","","","","","","","","","8.1","57"
"130","New York Jets","DST","NYJ","20","0","1","7","18","11","BYE","","","","","","","","","","","","9.5","57"
"134","Amari Cooper","WR","CLE","5.2","12.5","21.1","2.1","BYE","12.8","3.2","","","","","","","","","","","","9.5","56.9"
"135","Michael Wilson","WR","ARI","2.9","7.1","9.6","23.1","2.3","7.7","4.1","","","","","","","","","","","","8.1","56.8"
"136","DK Metcalf","WR","SEA","12.2","10.5","14.2","10.9","BYE","8.9","-","","","","","","","","","","","","11.3","56.7"
"137","Tyler Lockett","WR","SEA","2","21.9","6.9","7.4","BYE","12.4","5.8","","","","","","","","","","","","9.4","56.4"
"138","Cairo Santos","K","CHI","7","7","4","4","17","9","8","","","","","","","","","","","","8","56"
"138","Matt Prater","K","ARI","12","9","13","4","2","11","5","","","","","","","","","","","","8","56"
"140","James Conner","RB","ARI","9.5","16.6","18.6","6.1","4.6","-","-","","","","","","","","","","","","11.1","55.4"
"141","Evan Engram","TE","JAC","7.4","8.7","10.2","9.4","4.8","7.6","7","","","","","","","","","","","","7.9","55.1"
"142","Jahmyr Gibbs","RB","DET","7","9.1","8.7","7.1","-","-","23.1","","","","","","","","","","","","11","55"
"143","Tank Dell","WR","HOU","4.9","16.7","23","3.4","6.8","-","BYE","","","","","","","","","","","","11","54.8"
"144","Deshaun Watson","QB","CLE","21.7","12.6","21.2","-","BYE","-","-0.8","","","","","","","","","","","","13.7","54.6"
"144","Cole Kmet","TE","CHI","6.9","5.8","3.2","24.1","12.7","1.9","0","","","","","","","","","","","","7.8","54.6"
"146","Cleveland Browns","DST","CLE","9","7","12","4","BYE","6","16","","","","","","","","","","","","9","54"
"146","Tampa Bay Buccaneers","DST","TB","9","17","5","13","BYE","4","6","","","","","","","","","","","","9","54"
"148","Younghoe Koo","K","ATL","7","13","7","1","7","5","13","","","","","","","","","","","","7.6","53"
"148","Greg Zuerlein","K","NYJ","11","-","6","4","18","14","BYE","","","","","","","","","","","","10.6","53"
"148","San Francisco 49ers","DST","SF","13","5","8","2","16","7","2","","","","","","","","","","","","7.6","53"
"148","Chris Boswell","K","PIT","1","12","15","6","11","BYE","8","","","","","","","","","","","","8.8","53"
"152","Jaleel McLaughlin","RB","DEN","-0.2","6.5","1.5","17.9","16.4","5.2","5.1","","","","","","","","","","","","7.5","52.4"
"153","Jason Sanders","K","MIA","14","6","10","2","8","6","6","","","","","","","","","","","","7.4","52"
"153","Wil Lutz","K","DEN","4","9","8","9","7","0","15","","","","","","","","","","","","7.4","52"
"155","DeAndre Hopkins","WR","TEN","10","6","6.3","8.3","18","2.5","BYE","","","","","","","","","","","","8.5","51.1"
"156","Evan McPherson","K","CIN","4","6","19","3","12","7","BYE","","","","","","","","","","","","8.5","51"
"157","Jayden Reed","WR","GB","5.6","17.7","7.8","9","1.2","BYE","9.6","","","","","","","","","","","","8.5","50.9"
"158","Dalton Schultz","TE","HOU","1.4","5.4","1.4","11.7","16","14.1","BYE","","","","","","","","","","","","8.3","50"
"158","Greg Joseph","K","MIN","5","4","6","3","9","11","12","","","","","","","","","","","","7.1","50"
"158","Detroit Lions","DST","DET","9","0","16","10","7","10","-2","","","","","","","","","","","","7.1","50"
"161","Joshua Palmer","WR","LAC","0.9","2.8","12.6","9.2","BYE","8","15.8","","","","","","","","","","","","8.2","49.3"
"162","Jaylen Warren","RB","PIT","4.3","10.6","6.7","8.5","9.4","BYE","9.6","","","","","","","","","","","","8.2","49.1"
"162","K.J. Osborn","WR","MIN","4.6","10.9","10.1","2.1","7.4","6.8","7.2","","","","","","","","","","","","7","49.1"
"164","Jonnu Smith","TE","ATL","0","6.7","6.2","12.5","7.7","11.6","4.2","","","","","","","","","","","","7","48.9"
"165","Washington Commanders","DST","WAS","11","10","1","8","-1","10","9","","","","","","","","","","","","6.9","48"
"166","Kyle Pitts","TE","ATL","5.4","2.5","6.2","3.1","12.2","12.3","6.2","","","","","","","","","","","","6.8","47.9"
"167","Dameon Pierce","RB","HOU","5.7","4.5","13.4","11.3","8.7","3.4","BYE","","","","","","","","","","","","7.8","47"
"167","Eddy Pineiro","K","CAR","5","13","11","9","6","3","BYE","","","","","","","","","","","","7.8","47"
"169","Khalil Herbert","RB","CHI","9.9","6.3","2.5","20.2","7.6","-","-","","","","","","","","","","","","9.3","46.5"
"170","Houston Texans","DST","HOU","8","-1","13","12","4","10","BYE","","","","","","","","","","","","7.7","46"
"170","Graham Gano","K","NYG","0","7","9","5","13","10","2","","","","","","","","","","","","6.6","46"
