nfl_players_list_id,week,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Roster Position,RK,MATCHUP ,START/SIT,PROJ. FPTS,Rank,PTS_AVG,PTS_TTL,TGT_AVG,TGT_TTL,dpp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,8,D,Indianapolis,IND,Colts,6,7,3800,NO@IND,IND,NO,,,DEF,21,4 out of 5 stars,D,5.9,189,6,42,0,,633,11,9,9,3,4,1,5,,,,,,,,,,,
,8,D,Pittsburgh,PIT,Steelers,10.5,6,3800,JAC@PIT,PIT,JAC,,,DEF,16,3 out of 5 stars,C,6.7,104,10.5,63,0,,362,4,26,11,-1,18,,5,,,,,,,,,,,
,8,D,Minnesota,MIN,Vikings,8.142857143,7,3700,MIN@GB,MIN,GB,,,DEF,23,3 out of 5 stars,D-,5.8,130,8.1,57,0,,457,2,5,2,17,2,21,8,,,,,,,,,,,
,8,D,Cincinnati,CIN,Bengals,9.5,6,3600,CIN@SF,CIN,SF,,,DEF,28,1 out of 5 stars,F,5.3,130,9.5,57,0,,379,7,6,11,5,16,12,,,,,,,,,,,,
,8,D,Carolina,CAR,Panthers,4.333333333,6,3500,HOU@CAR,CAR,HOU,,,DEF,27,1 out of 5 stars,F,5.5,261,4.3,26,0,,814,4,7,0,13,-2,4,,,,,,,,,,,,
,8,D,Los Angeles,LAR,Rams,4.285714286,7,3400,LAR@DAL,LAR,DAL,,,DEF,25,1 out of 5 stars,F,5.6,244,4.3,30,0,,791,6,0,5,4,3,10,2,,,,,,,,,,,
,8,D,Washington,WAS,Commanders,6,7,3300,PHI@WAS,WAS,PHI,,,DEF,24,3 out of 5 stars,F,5.7,165,6.9,48,0,,478,11,10,1,8,-1,10,9,,,,,,,,,,,
,8,D,Arizona,ARI,Cardinals,6.142857143,7,3200,BAL@ARI,ARI,BAL,,,DEF,29,2 out of 5 stars,F,5.2,182,6.1,43,0,,525,19,4,5,-3,4,5,9,,,,,,,,,,,
,8,D,New England,NE,Patriots,4.571428571,7,3100,NE@MIA,NE,MIA,,,DEF,26,2 out of 5 stars,F,5.5,239,4.4,31,0,,705,6,5,9,3,1,2,5,,,,,,,,,,,
,8,D,Denver,DEN,Broncos,4.857142857,7,3000,KC@DEN,DEN,KC,,,DEF,32,2 out of 5 stars,F,4.7,226,4.9,34,0,,612,3,0,2,13,8,5,3,,,,,,,,,,,
,8,QB,Jalen,Jalen Hurts,Hurts,22.89142936,7,9200,PHI@WAS,PHI,WAS,Q,Knee,QB,1,4 out of 5 stars,A+,23.8,2,22.9,160.2,0,,402,12.5,26.2,21.9,24.2,28.3,22.9,24.3,,,,,,,,,,,
,8,QB,Patrick,Patrick Mahomes,Mahomes,22.29714312,7,9000,KC@DEN,KC,DEN,,,QB,2,5 out of 5 stars,A+,23.3,5,22.3,156.1,0,,404,20.5,22.2,25.7,15.2,19.2,18.3,34.9,,,,,,,,,,,
,8,QB,Lamar,Lamar Jackson,Jackson,21.38571385,7,8800,BAL@ARI,BAL,ARI,,,QB,4,5 out of 5 stars,A,21.2,6,21.4,149.7,0,,411,7.6,22.9,28.2,28.1,10.9,18.1,33.9,,,,,,,,,,,
,8,QB,Tua,Tua Tagovailoa,Tagovailoa,19.63999939,7,8200,NE@MIA,MIA,NE,,,QB,6,4 out of 5 stars,A-,19,7,19.6,137.5,0,,418,28.1,13.3,28.4,15,18.9,22.5,11.3,,,,,,,,,,,
,8,QB,Kirk,Kirk Cousins,Cousins,19.26857213,7,7700,MIN@GB,MIN,GB,,,QB,12,3 out of 5 stars,B-,16.3,9,19.3,134.9,0,,399,17.5,28.6,26.7,11.6,19.9,8.7,22,,,,,,,,,,,
,8,QB,Jordan,Jordan Love,Love,18.75333277,6,7600,MIN@GB,GB,MIN,,,QB,13,3 out of 5 stars,C+,16.2,20,18.8,112.5,0,,404,23,20.3,25.3,19.6,8,,16.3,,,,,,,,,,,
,8,QB,Trevor,Trevor Lawrence,Lawrence,15.61714281,7,7500,JAC@PIT,JAC,PIT,,,QB,8,2 out of 5 stars,B,17.7,23,15.6,109.3,0,,481,18.7,9.2,15.4,16.5,15.7,15.7,18.1,,,,,,,,,,,
,8,QB,C.J.,C.J. Stroud,Stroud,17.23333359,6,7400,HOU@CAR,HOU,CAR,,,QB,9,2 out of 5 stars,B,17.1,28,17.2,103.4,0,,430,10.2,21.5,20.6,21.8,14.2,15.2,,,,,,,,,,,,
,8,QB,Dak,Dak Prescott,Prescott,14.63666662,6,7300,LAR@DAL,DAL,LAR,,,QB,16,2 out of 5 stars,C,15.9,42,14.6,87.8,0,,500,6.3,19.6,15.4,14.3,7.3,24.9,,,,,,,,,,,,
,8,QB,Brock,Brock Purdy,Purdy,17.53142875,7,7200,CIN@SF,SF,CIN,,,QB,11,3 out of 5 stars,B,16.5,15,17.5,122.7,0,,411,16.8,14.7,20.3,21.3,26.1,8.7,14.8,,,,,,,,,,,
,8,QB,Joe,Joe Burrow,Burrow,12.09999975,6,7100,CIN@SF,CIN,SF,,,QB,10,2 out of 5 stars,B,16.7,72,12.1,72.6,0,,587,3.2,16.4,9.2,4.7,24.4,14.8,,,,,,,,,,,,
,8,QB,Russell,Russell Wilson,Wilson,17.29428537,7,7000,KC@DEN,DEN,KC,,,QB,14,2 out of 5 stars,C+,16.1,16,17.3,121.1,0,,405,15.2,26.9,15.2,22.2,18.7,8.9,13.9,,,,,,,,,,,
,8,QB,Deshaun,Deshaun Watson,Watson,13.65499973,4,7000,CLE@SEA,CLE,SEA,Q,Shoulder,QB,24,4 out of 5 stars,F,14.5,144,13.7,54.6,0,,511,21.7,12.6,21.2,,,,-0.8,,,,,,,,,,,
,8,QB,Sam,Sam Howell,Howell,16.6942858,7,6900,PHI@WAS,WAS,PHI,,,QB,17,4 out of 5 stars,C,15.9,17,16.7,116.9,0,,413,16.2,21.3,4.6,19.6,26.4,18.3,10.5,,,,,,,,,,,
,8,QB,Gardner,Gardner Minshew II,Minshew II,11.86333338,6,6900,NO@IND,IND,NO,,,QB,21,2 out of 5 stars,D,15.3,77,11.9,71.2,0,,580,0,11.1,13.1,,6.3,12.6,28.1,,,,,,,,,,,
,8,QB,Tyrod,Tyrod Taylor,Taylor,7.468000031,5,6800,NYJ@NYG,NYG,NYJ,,,QB,28,2 out of 5 stars,F,13.6,208,7.5,37.3,0,,907,0.2,,0.2,,4.8,10.4,21.7,,,,,,,,,,,
,8,QB,Desmond,Desmond Ridder,Ridder,14.91428593,7,6700,ATL@TEN,ATL,TEN,,,QB,18,4 out of 5 stars,C-,15.8,27,14.9,104.4,0,,450,8.4,22.4,6.3,8.2,26.2,19.1,13.8,,,,,,,,,,,
,8,QB,Mac,Mac Jones,Jones,11.88571385,7,6700,NE@MIA,NE,MIA,,,QB,27,4 out of 5 stars,F,13.8,51,11.9,83.2,0,,563,25.1,14.7,13.3,2.7,0.4,6.9,20,,,,,,,,,,,
,8,QB,Zach,Zach Wilson,Wilson,11.11333338,6,6600,NYJ@NYG,NYJ,NYG,,,QB,29,4 out of 5 stars,F,13.5,91,11.1,66.7,0,,595,9.2,11.4,6.4,19.2,9.6,10.9,,,,,,,,,,,,
,8,QB,Derek,Derek Carr,Carr,12.29999978,7,6600,NO@IND,NO,IND,,,QB,22,3 out of 5 stars,D,15.1,46,12.3,86.1,0,,537,15.6,7.7,8.1,3.2,15.7,17.3,18.4,,,,,,,,,,,
,8,QB,Bryce,Bryce Young,Young,12.63600006,5,6600,HOU@CAR,CAR,HOU,,,QB,19,3 out of 5 stars,D+,15.6,103,12.6,63.2,0,,524,9.5,13.5,,7.2,20.3,12.7,,,,,,,,,,,,
,8,QB,Joshua,Joshua Dobbs,Dobbs,14.94857134,7,6600,BAL@ARI,ARI,BAL,,,QB,26,2 out of 5 stars,F,14.1,25,14.9,104.6,0,,443,1,25.2,17.1,23.4,10.7,11.1,16.1,,,,,,,,,,,
,8,QB,Matthew,Matthew Stafford,Stafford,15.17428589,7,6500,LAR@DAL,LAR,DAL,,,QB,15,2 out of 5 stars,C,16.1,24,15.2,106.2,0,,428,14.5,16,13.5,17.2,16.9,13.2,15,,,,,,,,,,,
,8,QB,Ryan,Ryan Tannehill,Tannehill,9.519999822,6,6500,ATL@TEN,TEN,ATL,Q,Ankle,QB,37,3 out of 5 stars,F,0,128,9.5,57.1,0,,684,5.4,21,4.2,13.7,10.8,2,,,,,,,,,,,,
,8,QB,Malik,Malik Willis,Willis,4.659999847,1,6500,ATL@TEN,TEN,ATL,,,QB,32,3 out of 5 stars,F,12.8,419,4.7,4.7,0,,1383,,,,,,4.7,,,,,,,,,,,,
,8,QB,Geno,Geno Smith,Smith,14.1899999,6,6500,CLE@SEA,SEA,CLE,,,QB,20,3 out of 5 stars,D,15.4,48,14.2,85.1,0,,458,9.1,23.1,16.4,8.7,,13,14.8,,,,,,,,,,,
,8,QB,Kenny,Kenny Pickett,Pickett,12.24666723,6,6500,JAC@PIT,PIT,JAC,,,QB,23,3 out of 5 stars,D-,14.8,70,12.2,73.5,0,,533,11.7,11.3,18.5,4.5,12.4,,15.2,,,,,,,,,,,
,8,RB,Christian,Christian McCaffrey,McCaffrey,22.51428659,7,10200,CIN@SF,SF,CIN,,,RB/FLEX,1,4 out of 5 stars,A+,20.8,4,22.5,157.6,4.3,30,453,24.4,21,20.4,45.2,12.8,12.7,21.1,,,,,,,,,,,
,8,RB,Raheem,Raheem Mostert,Mostert,19.42857143,7,9000,NE@MIA,MIA,NE,,,RB/FLEX,11,3 out of 5 stars,A-,14.3,8,19.4,136,3.3,23,464,12,25.2,41.7,4,14.8,32.7,5.6,,,,,,,,,,,
,8,RB,Travis,Travis Etienne Jr.,Etienne Jr.,18,7,8700,JAC@PIT,JAC,PIT,,,RB/FLEX,2,4 out of 5 stars,A+,17,13,18,126,4.1,29,483,18.9,5.2,15.8,8.7,34.4,21.8,21.2,,,,,,,,,,,
,8,RB,Kenneth,Kenneth Walker III,Walker III,16.34999975,6,8500,CLE@SEA,SEA,CLE,,,RB/FLEX,9,2 out of 5 stars,A,15.1,33,16.4,98.1,2.7,16,518,8.7,17.9,29.1,13.9,,16.4,12.1,,,,,,,,,,,
,8,RB,Alvin,Alvin Kamara,Kamara,17.32500076,4,8300,NO@IND,NO,IND,,,RB/FLEX,5,3 out of 5 stars,A,15.3,81,17.3,69.3,9.8,39,480,,,,14.9,17.2,13.9,23.3,,,,,,,,,,,
,8,RB,Saquon,Saquon Barkley,Barkley,15.27499962,4,8100,NYJ@NYG,NYG,NYJ,Q,Elbow,RB/FLEX,10,2 out of 5 stars,A,14.7,113,15.3,61.1,5,20,529,7.8,24.2,,,,11.8,17.3,,,,,,,,,,,
,8,RB,Derrick,Derrick Henry,Henry,13.6299998,6,8000,ATL@TEN,TEN,ATL,,,RB/FLEX,15,3 out of 5 stars,B+,13.4,55,13.6,81.8,2.2,13,588,12.9,17,2,23.9,7.7,18.3,,,,,,,,,,,,
,8,RB,D'Andre,D'Andre Swift,Swift,13.31428528,7,7700,PHI@WAS,PHI,WAS,,,RB/FLEX,8,3 out of 5 stars,A,15.2,38,13.3,93.2,4.3,30,579,0.8,25.6,14.3,15.9,13.8,13.8,9,,,,,,,,,,,
,8,RB,Tony,Tony Pollard,Pollard,13.18333308,6,7600,LAR@DAL,DAL,LAR,,,RB/FLEX,4,3 out of 5 stars,A,15.7,59,13.2,79.1,4.8,29,576,21.2,16.4,13.6,7.5,6.4,14,,,,,,,,,,,,
,8,RB,Isiah,Isiah Pacheco,Pacheco,13.24285671,7,7400,KC@DEN,KC,DEN,,,RB/FLEX,6,3 out of 5 stars,A,15.3,39,13.2,92.7,3.3,23,561,7.4,7.5,14.8,23.3,12.9,12.8,14,,,,,,,,,,,
