"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"98","Tyquan Thornton",NE,"at MIA","3 out of 5 stars","F","3.3","","","",""
"99","Ray-Ray McCloud III",SF,"vs. CIN","2 out of 5 stars","F","3.2","","","",""
"100","Cedrick Wilson Jr.",MIA,"vs. NE","3 out of 5 stars","F","2.9","","","",""
"101","JuJu Smith-Schuster",NE,"at MIA","3 out of 5 stars","F","2.9","","","",""
"102","Isaiah Hodgins",NYG,"vs. NYJ","3 out of 5 stars","F","2.8","","","",""
"103","Tre Tucker",LV,"at DET","4 out of 5 stars","F","2.7","","","",""
"104","Calvin Austin III",PIT,"vs. JAC","2 out of 5 stars","F","2.7","","","",""
"105","Terrace Marshall Jr.",CAR,"vs. HOU","4 out of 5 stars","F","2.6","","","",""
"106","Randall Cobb",NYJ,"at NYG","3 out of 5 stars","F","2.5","","","",""
"107","Olamide Zaccheaus",PHI,"at WAS","3 out of 5 stars","F","2.5","","","",""
"108","Jamal Agnew",JAC,"at PIT","3 out of 5 stars","F","2.3","","","",""
"109","Deven Thompkins",TB,"at BUF","4 out of 5 stars","F","2.3","","","",""
"110","Khalil Shakir",BUF,"vs. TB","3 out of 5 stars","F","2.2","","","",""
"111","Brandon Johnson",DEN,"vs. KC","3 out of 5 stars","F","2.2","","","",""
"112","Dontayvion Wicks",GB,"vs. MIN","3 out of 5 stars","F","2.2","","","",""
"113","Dyami Brown",WAS,"vs. PHI","3 out of 5 stars","F","2.1","","","",""
"114","Justyn Ross",KC,"at DEN","4 out of 5 stars","F","1.9","","","",""
"115","Laviska Shenault Jr.",CAR,"vs. HOU","4 out of 5 stars","F","1.8","","","",""
"116","Noah Brown",HOU,"at CAR","3 out of 5 stars","F","1.8","","","",""
"117","Marquise Goodwin",CLE,"at SEA","3 out of 5 stars","F","1.8","","","",""
"118","Hunter Renfrow",LV,"at DET","4 out of 5 stars","F","1.8","","","",""
"119","Trenton Irwin",CIN,"at SF","4 out of 5 stars","F","1.6","","","",""
"120","Julio Jones",PHI,"at WAS","3 out of 5 stars","F","1.6","","","",""
"121","Derius Davis",LAC,"vs. CHI","3 out of 5 stars","F","1.6","","","",""
"122","Kyle Philips",TEN,"vs. ATL","2 out of 5 stars","F","1.6","","","",""
"123","Tim Jones",JAC,"at PIT","3 out of 5 stars","F","1.6","","","",""
"124","Chris Moore",TEN,"vs. ATL","2 out of 5 stars","F","1.5","","","",""
"125","Trent Sherfield",BUF,"vs. TB","3 out of 5 stars","F","1.4","","","",""
"126","Sterling Shepard",NYG,"vs. NYJ","3 out of 5 stars","F","1.3","","","",""
"127","John Metchie III",HOU,"at CAR","3 out of 5 stars","F","1.3","","","",""
"128","Samori Toure",GB,"vs. MIN","3 out of 5 stars","F","1.0","","","",""
