"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Mike Gesicki","TE","NE","3","6","1","3","4","3","2","","","","","","","","","","","","22","3.1"
"Nelson Agholor","WR","BAL","0","6","4","2","5","3","1","","","","","","","","","","","","21","3.0"
"Joe Mixon","RB","CIN","5","5","2","1","4","4","bye","","","","","","","","","","","","21","3.5"
"Jauan Jennings","WR","SF","1","3","3","-","1","4","9","","","","","","","","","","","","21","3.5"
"Trey McBride","TE","ARI","2","3","1","1","3","5","6","","","","","","","","","","","","21","3.0"
"James Cook","RB","BUF","6","4","3","1","4","0","3","","","","","","","","","","","","21","3.0"
"Tyjae Spears","RB","TEN","4","2","4","4","5","1","bye","","","","","","","","","","","","20","3.3"
"Saquon Barkley","RB","NYG","4","7","-","-","-","5","4","","","","","","","","","","","","20","5.0"
"Jerick McKinnon","RB","KC","2","3","3","1","3","5","2","","","","","","","","","","","","19","2.7"
"Kalif Raymond","WR","DET","1","3","6","1","3","3","2","","","","","","","","","","","","19","2.7"
"Jerome Ford","RB","CLE","0","4","3","6","bye","2","4","","","","","","","","","","","","19","3.2"
"Antonio Gibson","RB","WAS","1","3","5","1","6","1","2","","","","","","","","","","","","19","2.7"
"Taysom Hill","TE","NO","1","2","1","1","1","8","5","","","","","","","","","","","","19","2.7"
"Van Jefferson","WR","ATL","5","4","3","3","0","2","2","","","","","","","","","","","","19","2.7"
"Javonte Williams","RB","DEN","6","3","3","3","-","0","4","","","","","","","","","","","","19","3.2"
"Zack Moss","RB","IND","-","4","3","1","2","7","2","","","","","","","","","","","","19","3.2"
"Noah Gray","TE","KC","5","3","2","3","2","2","1","","","","","","","","","","","","18","2.6"
"Rashod Bateman","WR","BAL","3","3","3","-","3","3","3","","","","","","","","","","","","18","3.0"
"Donovan Peoples-Jones","WR","CLE","2","4","4","4","bye","1","3","","","","","","","","","","","","18","3.0"
"Deven Thompkins","WR","TB","3","0","4","4","bye","4","3","","","","","","","","","","","","18","3.0"
"Trey Palmer","WR","TB","3","2","1","3","bye","7","2","","","","","","","","","","","","18","3.0"
"Zay Jones","WR","JAC","7","6","-","-","5","-","-","","","","","","","","","","","","18","6.0"
"Khalil Herbert","RB","CHI","5","3","2","5","3","-","-","","","","","","","","","","","","18","3.6"
"Adam Trautman","TE","DEN","5","1","2","1","5","2","2","","","","","","","","","","","","18","2.6"
"Isaiah Hodgins","WR","NYG","3","5","1","3","2","0","4","","","","","","","","","","","","18","2.6"
"Breece Hall","RB","NYJ","2","2","2","4","3","5","bye","","","","","","","","","","","","18","3.0"
"Justin Watson","WR","KC","4","5","3","1","3","1","-","","","","","","","","","","","","17","2.8"
"Marquez Valdes-Scantling","WR","KC","2","3","2","2","2","1","5","","","","","","","","","","","","17","2.4"
"Colby Parkinson","TE","SEA","2","3","4","1","bye","5","2","","","","","","","","","","","","17","2.8"
"Ezekiel Elliott","RB","NE","7","0","1","3","4","1","1","","","","","","","","","","","","17","2.4"
"Brandon Powell","WR","MIN","0","0","1","0","6","4","5","","","","","","","","","","","","16","2.3"
"Durham Smythe","TE","MIA","7","3","1","4","0","1","0","","","","","","","","","","","","16","2.3"
"Kenneth Walker III","RB","SEA","5","2","3","0","bye","3","3","","","","","","","","","","","","16","2.7"
"Deonte Harty","WR","BUF","4","3","3","2","2","1","1","","","","","","","","","","","","16","2.3"
"Christian Watson","WR","GB","-","-","-","4","7","bye","5","","","","","","","","","","","","16","5.3"
"Emari Demercado","RB","ARI","0","2","0","4","3","1","5","","","","","","","","","","","","15","2.1"
"Chuba Hubbard","RB","CAR","2","5","3","2","2","1","bye","","","","","","","","","","","","15","2.5"
"Quentin Johnston","WR","LAC","3","2","3","3","bye","2","2","","","","","","","","","","","","15","2.5"
"Dontayvion Wicks","WR","GB","2","4","6","1","1","bye","1","","","","","","","","","","","","15","2.5"
"Michael Mayer","TE","LV","0","1","1","0","3","6","4","","","","","","","","","","","","15","2.1"
"Brian Robinson Jr.","RB","WAS","2","3","0","2","4","2","1","","","","","","","","","","","","14","2.0"
"Donald Parham Jr.","TE","LAC","3","2","2","1","bye","3","3","","","","","","","","","","","","14","2.3"
"Chase Claypool","WR","MIA","2","8","4","-","-","-","0","","","","","","","","","","","","14","3.5"
"Jalin Hyatt","WR","NYG","1","2","0","2","0","4","5","","","","","","","","","","","","14","2.0"
"Noah Fant","TE","SEA","0","4","5","2","bye","1","1","","","","","","","","","","","","13","2.2"
"Tyler Allgeier","RB","ATL","3","0","3","2","1","1","3","","","","","","","","","","","","13","1.9"
"Pat Freiermuth","TE","PIT","4","1","4","4","-","bye","-","","","","","","","","","","","","13","3.3"
"Connor Heyward","TE","PIT","4","0","2","0","4","bye","3","","","","","","","","","","","","13","2.2"
"Derrick Henry","RB","TEN","3","4","0","1","3","2","bye","","","","","","","","","","","","13","2.2"
"Treylon Burks","WR","TEN","3","4","6","-","-","-","bye","","","","","","","","","","","","13","4.3"
"Austin Ekeler","RB","LAC","5","-","-","-","bye","6","2","","","","","","","","","","","","13","4.3"
"Salvon Ahmed","RB","MIA","3","3","-","0","-","5","2","","","","","","","","","","","","13","2.6"
"Brandon Johnson","WR","DEN","3","3","3","1","1","2","0","","","","","","","","","","","","13","1.9"
"Marvin Mims Jr.","WR","DEN","2","2","5","2","1","0","1","","","","","","","","","","","","13","1.9"
"Hunter Renfrow","WR","LV","0","1","2","4","2","0","3","","","","","","","","","","","","12","1.7"
"Dameon Pierce","RB","HOU","3","3","3","2","1","0","bye","","","","","","","","","","","","12","2.0"
"Najee Harris","RB","PIT","2","3","1","2","1","bye","3","","","","","","","","","","","","12","2.0"
"Diontae Johnson","WR","PIT","6","-","-","-","-","bye","6","","","","","","","","","","","","12","6.0"
"Cole Turner","TE","WAS","2","2","7","0","1","0","0","","","","","","","","","","","","12","1.7"
"Juwan Johnson","TE","NO","5","3","4","-","-","-","-","","","","","","","","","","","","12","4.0"
"Josh Oliver","TE","MIN","3","3","2","0","2","0","2","","","","","","","","","","","","12","1.7"
"Jamal Agnew","WR","JAC","0","1","5","-","0","0","6","","","","","","","","","","","","12","2.0"
"Kenneth Gainwell","RB","PHI","4","-","2","2","2","2","0","","","","","","","","","","","","12","2.0"
"Roschon Johnson","RB","CHI","7","2","2","1","0","-","-","","","","","","","","","","","","12","2.4"
"Tyler Scott","WR","CHI","2","0","3","0","0","4","3","","","","","","","","","","","","12","1.7"
"Jaleel McLaughlin","RB","DEN","1","0","0","3","4","2","2","","","","","","","","","","","","12","1.7"
"Matt Breida","RB","NYG","1","0","3","5","1","1","1","","","","","","","","","","","","12","1.7"
"Michael Carter","RB","NYJ","2","2","1","3","3","1","bye","","","","","","","","","","","","12","2.0"
"Randall Cobb","WR","NYJ","1","1","2","4","1","3","bye","","","","","","","","","","","","12","2.0"
"Jameson Williams","WR","DET","-","-","-","-","3","3","6","","","","","","","","","","","","12","4.0"
"Trenton Irwin","WR","CIN","0","0","-","1","10","0","bye","","","","","","","","","","","","11","2.2"
"Foster Moreau","TE","NO","0","2","-","-","1","4","4","","","","","","","","","","","","11","2.2"
"Jake Bobo","WR","SEA","0","1","2","1","bye","2","5","","","","","","","","","","","","11","1.8"
"Justice Hill","RB","BAL","0","3","-","0","4","3","1","","","","","","","","","","","","11","1.8"
"Irv Smith Jr.","TE","CIN","5","4","-","-","0","2","bye","","","","","","","","","","","","11","2.8"
"John Bates","TE","WAS","0","5","2","1","2","0","1","","","","","","","","","","","","11","1.6"
"Dyami Brown","WR","WAS","0","3","1","3","3","1","0","","","","","","","","","","","","11","1.6"
"Andrew Ogletree","TE","IND","2","-","2","4","2","1","0","","","","","","","","","","","","11","1.8"
