#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,,,,
106,Dylan Sampson,RB,CLE,9.3,7.9,,,,,,,,,,,,,,,,,8.6,17.2,Dylan Sampson,,7.9,9.3
107,Andy Borregales,K,NE,8,9,,,,,,,,,,,,,,,,,8.5,17,Andy Borregales,,8,9
107,Will Reichard,K,MIN,9,8,,,,,,,,,,,,,,,,,8.5,17,Will Reichard,,8,9
107,Jake Bates,K,DET,7,10,,,,,,,,,,,,,,,,,8.5,17,Jake Bates,,7,10
107,Jason Myers,K,SEA,8,9,,,,,,,,,,,,,,,,,8.5,17,Jason Myers,,8,9
107,Cameron Dicker,K,LAC,9,8,,,,,,,,,,,,,,,,,8.5,17,Cameron Dicker,,8,9
112,Tetairoa McMillan,WR,CAR,6.8,10,,,,,,,,,,,,,,,,,8.4,16.8,Tetairoa McMillan,,6.8,10
113,Travis Kelce,TE,KC,10.7,6.1,,,,,,,,,,,,,,,,,8.4,16.8,Travis Kelce,TE:KC,6.1,10.7
114,Jakobi Meyers,WR,LV,9.7,6.8,,,,,,,,,,,,,,,,,8.3,16.5,Jakobi Meyers,,6.8,9.7
114,Jauan Jennings,WR,SF,1.6,14.9,,,,,,,,,,,,,,,,,8.3,16.5,Jauan Jennings,,1.6,14.9
116,David Montgomery,RB,DET,4.3,12.1,,,,,,,,,,,,,,,,,8.2,16.4,David Montgomery,,4.3,12.1
116,Tyler Allgeier,RB,ATL,2.4,14,,,,,,,,,,,,,,,,,8.2,16.4,Tyler Allgeier,,2.4,14
118,DK Metcalf,WR,PIT,8.3,8,,,,,,,,,,,,,,,,,8.2,16.3,DK Metcalf,,8,8.3
119,Tony Pollard,RB,TEN,6.9,9.2,,,,,,,,,,,,,,,,,8.1,16.1,Tony Pollard,,6.9,9.2
120,Tyquan Thornton,WR,KC,4.1,11.9,,,,,,,,,,,,,,,,,8,16,Tyquan Thornton,WR:KC,4.1,11.9
120,Nick Folk,K,NYJ,10,6,,,,,,,,,,,,,,,,,8,16,Nick Folk,,6,10
120,Ricky Pearsall,WR,SF,10.8,5.2,,,,,,,,,,,,,,,,,8,16,Ricky Pearsall,,5.2,10.8
123,Jacory Croskey-Merritt,RB,WAS,14.2,1.7,,,,,,,,,,,,,,,,,8,15.9,Jacory Croskey-Merritt,,1.7,14.2
124,Joe Burrow,QB,CIN,8.8,7,,,,,,,,,,,,,,,,,7.9,15.9,Joe Burrow,,7,8.8
125,Jaylen Waddle,WR,MIA,3,12.8,,,,,,,,,,,,,,,,,7.9,15.8,Jaylen Waddle,,3,12.8
125,George Pickens,WR,DAL,3,12.8,,,,,,,,,,,,,,,,,7.9,15.8,George Pickens,,3,12.8
125,Marvin Harrison Jr.,WR,ARI,13.1,2.7,,,,,,,,,,,,,,,,,7.9,15.8,Marvin Harrison Jr.,,2.7,13.1
125,Tyler Warren,TE,IND,7.9,7.9,,,,,,,,,,,,,,,,,7.9,15.8,Tyler Warren,,7.9,7.9
129,Romeo Doubs,WR,GB,6.8,8.8,,,,,,,,,,,,,,,,,7.8,15.6,Romeo Doubs,,6.8,8.8
130,Calvin Austin III,WR,PIT,13,2.2,,,,,,,,,,,,,,,,,7.6,15.2,Calvin Austin III,,2.2,13
131,Los Angeles Chargers,DST,LAC,2,13,,,,,,,,,,,,,,,,,7.5,15,Los Angeles Chargers,,2,13
131,Green Bay Packers,DST,GB,10,5,,,,,,,,,,,,,,,,,7.5,15,Green Bay Packers,,5,10
131,Las Vegas Raiders,DST,LV,10,5,,,,,,,,,,,,,,,,,7.5,15,Las Vegas Raiders,,5,10
131,Aaron Jones Sr.,RB,MIN,12.7,2.3,,,,,,,,,,,,,,,,,7.5,15,Aaron Jones Sr.,,2.3,12.7
135,Tyreek Hill,WR,MIA,4,10.9,,,,,,,,,,,,,,,,,7.5,14.9,Tyreek Hill,,4,10.9
136,Tee Higgins,WR,CIN,3.3,11.6,,,,,,,,,,,,,,,,,7.5,14.9,Tee Higgins,,3.3,11.6
137,Devontez Walker,WR,BAL,-,14.6,,,,,,,,,,,,,,,,,14.6,14.6,Devontez Walker,,14.6,14.6
138,Bhayshul Tuten,RB,JAC,1.1,13.4,,,,,,,,,,,,,,,,,7.3,14.5,Bhayshul Tuten,,1.1,13.4
138,Rashid Shaheed,WR,NO,3.3,11.2,,,,,,,,,,,,,,,,,7.3,14.5,Rashid Shaheed,,3.3,11.2
138,Dalton Kincaid,TE,BUF,10.8,3.7,,,,,,,,,,,,,,,,,7.3,14.5,Dalton Kincaid,,3.7,10.8
141,Ashton Jeanty,RB,LV,10,4.4,,,,,,,,,,,,,,,,,7.2,14.4,Ashton Jeanty,,4.4,10
142,Rachaad White,RB,TB,1.6,12.6,,,,,,,,,,,,,,,,,7.1,14.2,Rachaad White,,1.6,12.6
143,Brock Bowers,TE,LV,10.3,3.8,,,,,,,,,,,,,,,,,7.1,14.1,Brock Bowers,,3.8,10.3
143,Davis Allen,TE,LAR,7.3,6.8,,,,,,,,,,,,,,,,,7.1,14.1,Davis Allen,,6.8,7.3
145,KaVontae Turpin,WR,DAL,2.7,11.3,,,,,,,,,,,,,,,,,7,14,KaVontae Turpin,,2.7,11.3
145,Indianapolis Colts,DST,IND,13,1,,,,,,,,,,,,,,,,,7,14,Indianapolis Colts,,1,13
145,San Francisco 49ers,DST,SF,9,5,,,,,,,,,,,,,,,,,7,14,San Francisco 49ers,,5,9
145,Denver Broncos,DST,DEN,14,0,,,,,,,,,,,,,,,,,7,14,Denver Broncos,,0,14
145,Tennessee Titans,DST,TEN,10,4,,,,,,,,,,,,,,,,,7,14,Tennessee Titans,,4,10
150,Trey McBride,TE,ARI,6.1,7.8,,,,,,,,,,,,,,,,,7,13.9,Trey McBride,,6.1,7.8
151,Nico Collins,WR,HOU,2.5,11.2,,,,,,,,,,,,,,,,,6.9,13.7,Nico Collins,,2.5,11.2
152,Tre Tucker,WR,LV,11.4,1.9,,,,,,,,,,,,,,,,,6.7,13.3,Tre Tucker,,1.9,11.4
153,New Orleans Saints,DST,NO,8,5,,,,,,,,,,,,,,,,,6.5,13,New Orleans Saints,,5,8
153,Houston Texans,DST,HOU,6,7,,,,,,,,,,,,,,,,,6.5,13,Houston Texans,,6,7
155,Marquise Brown,WR,KC,9.9,3,,,,,,,,,,,,,,,,,6.5,12.9,Marquise Brown,WR:KC,3,9.9
155,Elic Ayomanor,WR,TEN,1.3,11.6,,,,,,,,,,,,,,,,,6.5,12.9,Elic Ayomanor,,1.3,11.6
155,Brian Thomas Jr.,WR,JAC,8,4.9,,,,,,,,,,,,,,,,,6.5,12.9,Brian Thomas Jr.,,4.9,8
158,Cam Skattebo,RB,NYG,0.9,11.9,,,,,,,,,,,,,,,,,6.4,12.8,Cam Skattebo,RB:NYG,0.9,11.9
159,Courtland Sutton,WR,DEN,12.1,0.6,,,,,,,,,,,,,,,,,6.4,12.7,Courtland Sutton,,0.6,12.1
160,Cam Ward,QB,TEN,2.5,9.8,,,,,,,,,,,,,,,,,6.1,12.3,Cam Ward,,2.5,9.8
161,Ladd McConkey,WR,LAC,7.4,4.8,,,,,,,,,,,,,,,,,6.1,12.2,Ladd McConkey,,4.8,7.4
162,Blake Corum,RB,LAR,1.6,10.4,,,,,,,,,,,,,,,,,6,12,Blake Corum,,1.6,10.4
162,Evan McPherson,K,CIN,5,7,,,,,,,,,,,,,,,,,6,12,Evan McPherson,,5,7
162,Baltimore Ravens,DST,BAL,-3,15,,,,,,,,,,,,,,,,,6,12,Baltimore Ravens,,-3,15
162,Wil Lutz,K,DEN,8,4,,,,,,,,,,,,,,,,,6,12,Wil Lutz,,4,8
162,Cincinnati Bengals,DST,CIN,7,5,,,,,,,,,,,,,,,,,6,12,Cincinnati Bengals,,5,7
167,Trey Benson,RB,ARI,7.5,4.4,,,,,,,,,,,,,,,,,6,11.9,Trey Benson,,4.4,7.5
168,Jerry Jeudy,WR,CLE,6.6,5.1,,,,,,,,,,,,,,,,,5.9,11.7,Jerry Jeudy,,5.1,6.6
168,Zach Charbonnet,RB,SEA,10.7,1,,,,,,,,,,,,,,,,,5.9,11.7,Zach Charbonnet,,1,10.7
170,Malik Washington,WR,MIA,2.9,8.5,,,,,,,,,,,,,,,,,5.7,11.4,Malik Washington,,2.9,8.5
171,Harold Fannin Jr.,TE,CLE,6.6,4.8,,,,,,,,,,,,,,,,,5.7,11.4,Harold Fannin Jr.,,4.8,6.6
